"Drop.off.community.Area","count","freq","COMMUNITY"
1,57108,0.5,"ROGERS PARK"
2,50914,0.45,"WEST RIDGE"
3,160128,1.4,"UPTOWN"
4,72353,0.63,"LINCOLN SQUARE"
5,80983,0.71,"NORTH CENTER"
6,498359,4.37,"LAKE VIEW"
7,517864,4.54,"LINCOLN PARK"
8,3534108,31.01,"NEAR NORTH SIDE"
9,3817,0.03,"EDISON PARK"
10,22085,0.19,"NORWOOD PARK"
11,23543,0.21,"JEFFERSON PARK"
12,11172,0.1,"FOREST GLEN"
13,15084,0.13,"NORTH PARK"
14,36057,0.32,"ALBANY PARK"
15,25425,0.22,"PORTAGE PARK"
16,55794,0.49,"IRVING PARK"
17,7563,0.07,"DUNNING"
18,1672,0.01,"MONTCLARE"
19,11952,0.1,"BELMONT CRAGIN"
20,5440,0.05,"HERMOSA"
21,36838,0.32,"AVONDALE"
22,129625,1.14,"LOGAN SQUARE"
23,16438,0.14,"HUMBOLDT PARK"
24,393350,3.45,"WEST TOWN"
25,13521,0.12,"AUSTIN"
26,3195,0.03,"WEST GARFIELD PARK"
27,9257,0.08,"EAST GARFIELD PARK"
28,1377004,12.08,"NEAR WEST SIDE"
29,7916,0.07,"NORTH LAWNDALE"
30,7582,0.07,"SOUTH LAWNDALE"
31,32196,0.28,"LOWER WEST SIDE"
32,2730181,23.95,"LOOP"
33,401657,3.52,"NEAR SOUTH SIDE"
34,33522,0.29,"ARMOUR SQUARE"
35,34220,0.3,"DOUGLAS"
36,5546,0.05,"OAKLAND"
37,4145,0.04,"FULLER PARK"
38,15055,0.13,"GRAND BOULEVARD"
39,22217,0.19,"KENWOOD"
40,4372,0.04,"WASHINGTON PARK"
41,62331,0.55,"HYDE PARK"
42,11861,0.1,"WOODLAWN"
43,13444,0.12,"SOUTH SHORE"
44,10156,0.09,"CHATHAM"
45,2442,0.02,"AVALON PARK"
46,4293,0.04,"SOUTH CHICAGO"
47,730,0.01,"BURNSIDE"
48,3023,0.03,"CALUMET HEIGHTS"
49,7531,0.07,"ROSELAND"
50,2373,0.02,"PULLMAN"
51,2696,0.02,"SOUTH DEERING"
52,660,0.01,"EAST SIDE"
53,3277,0.03,"WEST PULLMAN"
54,1188,0.01,"RIVERDALE"
55,613,0.01,"HEGEWISCH"
56,128808,1.13,"GARFIELD RIDGE"
57,1914,0.02,"ARCHER HEIGHTS"
58,3342,0.03,"BRIGHTON PARK"
59,7005,0.06,"MCKINLEY PARK"
60,16526,0.14,"BRIDGEPORT"
61,5772,0.05,"NEW CITY"
62,1293,0.01,"WEST ELSDON"
63,1979,0.02,"GAGE PARK"
64,5123,0.04,"CLEARING"
65,1942,0.02,"WEST LAWN"
66,3255,0.03,"CHICAGO LAWN"
67,3056,0.03,"WEST ENGLEWOOD"
68,6046,0.05,"ENGLEWOOD"
69,10160,0.09,"GREATER GRAND CROSSING"
70,3869,0.03,"ASHBURN"
71,5440,0.05,"AUBURN GRESHAM"
72,3271,0.03,"BEVERLY"
73,4831,0.04,"WASHINGTON HEIGHTS"
74,1062,0.01,"MOUNT GREENWOOD"
75,3910,0.03,"MORGAN PARK"
76,464217,4.07,"OHARE"
77,119309,1.05,"EDGEWATER"
